PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,male,22.0,1,0,7.25,Unknown,S
2,1,1,female,38.0,1,0,71.28,C85,C
3,1,3,female,26.0,0,0,7.92,Unknown,S
4,1,1,female,35.0,1,0,53.1,C123,S
5,0,3,male,35.0,0,0,8.05,B5,S
6,0,3,male,24.0,0,0,8.46,Unknown,Q
7,0,1,male,54.0,0,0,51.86,E46,S
8,0,3,male,2.0,3,1,21.08,Unknown,S
9,1,3,female,27.0,0,2,11.13,Unknown,S
10,1,2,female,14.0,1,0,30.07,Unknown,C
11,1,3,female,4.0,1,1,16.7,G6,S
12,1,1,female,58.0,0,0,26.55,C103,S
13,0,3,male,20.0,0,0,8.05,Unknown,S
14,0,3,male,39.0,1,5,31.28,Unknown,S
15,0,3,female,14.0,0,0,7.85,Unknown,S
16,1,2,female,55.0,0,0,16.0,Unknown,S
17,0,3,male,2.0,4,1,29.12,Unknown,Q
18,1,2,male,29.0,0,0,13.0,Unknown,S
19,0,3,female,31.0,1,0,18.0,Unknown,S
20,1,3,female,24.0,0,0,7.22,Unknown,C
21,0,2,male,35.0,0,0,26.0,Unknown,S
22,1,2,male,34.0,0,0,13.0,D56,S
23,1,3,female,15.0,0,0,8.03,Unknown,Q
24,1,1,male,28.0,0,0,35.5,A6,S
25,0,3,female,8.0,3,1,21.08,Unknown,S
26,1,3,female,38.0,1,5,31.39,Unknown,S
27,0,3,male,24.0,0,0,7.22,Unknown,C
28,0,1,male,19.0,3,2,263.0,C23 C25 C27,S
29,1,3,female,24.0,0,0,7.88,Unknown,Q
30,0,3,male,24.0,0,0,7.9,Unknown,S
31,0,1,male,40.0,0,0,27.72,Unknown,C
32,1,1,female,37.0,1,0,146.52,B78,C
33,1,3,female,24.0,0,0,7.75,Unknown,Q
34,0,2,male,66.0,0,0,10.5,Unknown,S
35,0,1,male,28.0,1,0,82.17,Unknown,C
36,0,1,male,42.0,1,0,52.0,Unknown,S
37,1,3,male,24.0,0,0,7.23,Unknown,C
38,0,3,male,21.0,0,0,8.05,Unknown,S
39,0,3,female,18.0,2,0,18.0,Unknown,S
40,1,3,female,14.0,1,0,11.24,Unknown,C
41,0,3,female,40.0,1,0,9.48,Unknown,S
42,0,2,female,27.0,1,0,21.0,Unknown,S
43,0,3,male,24.0,0,0,7.9,Unknown,C
44,1,2,female,3.0,1,2,41.58,Unknown,C
45,1,3,female,19.0,0,0,7.88,Unknown,Q
46,0,3,male,24.0,0,0,8.05,Unknown,S
47,0,3,male,24.0,1,0,15.5,Unknown,Q
48,1,3,female,24.0,0,0,7.75,Unknown,Q
49,0,3,male,24.0,2,0,21.68,Unknown,C
50,0,3,female,18.0,1,0,17.8,Unknown,S
51,0,3,male,7.0,4,1,39.69,Unknown,S
52,0,3,male,21.0,0,0,7.8,Unknown,S
53,1,1,female,49.0,1,0,76.73,D33,C
54,1,2,female,29.0,1,0,26.0,Unknown,S
55,0,1,male,65.0,0,1,61.98,B30,C
56,1,1,male,37.0,0,0,35.5,C52,S
57,1,2,female,21.0,0,0,10.5,Unknown,S
58,0,3,male,28.5,0,0,7.23,Unknown,C
59,1,2,female,5.0,1,2,27.75,Unknown,S
60,0,3,male,11.0,5,2,46.9,Unknown,S
61,0,3,male,22.0,0,0,7.23,Unknown,C
62,1,1,female,38.0,0,0,80.0,B28,
63,0,1,male,45.0,1,0,83.48,C83,S
64,0,3,male,4.0,3,2,27.9,Unknown,S
65,0,1,male,37.0,0,0,27.72,Unknown,C
66,1,3,male,24.0,1,1,15.25,Unknown,C
67,1,2,female,29.0,0,0,10.5,F33,S
68,0,3,male,19.0,0,0,8.16,Unknown,S
69,1,3,female,17.0,4,2,7.92,Unknown,S
70,0,3,male,26.0,2,0,8.66,Unknown,S
71,0,2,male,32.0,0,0,10.5,Unknown,S
72,0,3,female,16.0,5,2,46.9,Unknown,S
73,0,2,male,21.0,0,0,73.5,Unknown,S
74,0,3,male,26.0,1,0,14.45,Unknown,C
75,1,3,male,32.0,0,0,56.5,Unknown,S
76,0,3,male,25.0,0,0,7.65,F G73,S
77,0,3,male,24.0,0,0,7.9,Unknown,S
78,0,3,male,24.0,0,0,8.05,Unknown,S
79,1,2,male,0.83,0,2,29.0,Unknown,S
80,1,3,female,30.0,0,0,12.48,Unknown,S
81,0,3,male,22.0,0,0,9.0,Unknown,S
82,1,3,male,29.0,0,0,9.5,Unknown,S
83,1,3,female,24.0,0,0,7.79,Unknown,Q
84,0,1,male,28.0,0,0,47.1,Unknown,S
85,1,2,female,17.0,0,0,10.5,Unknown,S
86,1,3,female,33.0,3,0,15.85,Unknown,S
87,0,3,male,16.0,1,3,34.38,Unknown,S
88,0,3,male,24.0,0,0,8.05,Unknown,S
89,1,1,female,23.0,3,2,263.0,C23 C25 C27,S
90,0,3,male,24.0,0,0,8.05,Unknown,S
91,0,3,male,29.0,0,0,8.05,Unknown,S
92,0,3,male,20.0,0,0,7.85,Unknown,S
93,0,1,male,46.0,1,0,61.18,E31,S
94,0,3,male,26.0,1,2,20.58,Unknown,S
95,0,3,male,59.0,0,0,7.25,Unknown,S
96,0,3,male,24.0,0,0,8.05,Unknown,S
97,0,1,male,71.0,0,0,34.65,A5,C
98,1,1,male,23.0,0,1,63.36,D10 D12,C
99,1,2,female,34.0,0,1,23.0,Unknown,S
100,0,2,male,34.0,1,0,26.0,Unknown,S
101,0,3,female,28.0,0,0,7.9,Unknown,S
102,0,3,male,24.0,0,0,7.9,Unknown,S
103,0,1,male,21.0,0,1,77.29,D26,S
104,0,3,male,33.0,0,0,8.65,Unknown,S
105,0,3,male,37.0,2,0,7.92,Unknown,S
106,0,3,male,28.0,0,0,7.9,Unknown,S
107,1,3,female,21.0,0,0,7.65,Unknown,S
108,1,3,male,24.0,0,0,7.78,Unknown,S
109,0,3,male,38.0,0,0,7.9,Unknown,S
110,1,3,female,24.0,1,0,24.15,Unknown,Q
111,0,1,male,47.0,0,0,52.0,C110,S
112,0,3,female,14.5,1,0,14.45,Unknown,C
113,0,3,male,22.0,0,0,8.05,Unknown,S
114,0,3,female,20.0,1,0,9.82,Unknown,S
115,0,3,female,17.0,0,0,14.46,Unknown,C
116,0,3,male,21.0,0,0,7.92,Unknown,S
117,0,3,male,70.5,0,0,7.75,Unknown,Q
118,0,2,male,29.0,1,0,21.0,Unknown,S
119,0,1,male,24.0,0,1,247.52,B58 B60,C
120,0,3,female,2.0,4,2,31.28,Unknown,S
121,0,2,male,21.0,2,0,73.5,Unknown,S
122,0,3,male,24.0,0,0,8.05,Unknown,S
123,0,2,male,32.5,1,0,30.07,Unknown,C
124,1,2,female,32.5,0,0,13.0,E101,S
125,0,1,male,54.0,0,1,77.29,D26,S
126,1,3,male,12.0,1,0,11.24,Unknown,C
127,0,3,male,24.0,0,0,7.75,Unknown,Q
128,1,3,male,24.0,0,0,7.14,Unknown,S
129,1,3,female,24.0,1,1,22.36,F E69,C
130,0,3,male,45.0,0,0,6.98,Unknown,S
131,0,3,male,33.0,0,0,7.9,Unknown,C
132,0,3,male,20.0,0,0,7.05,Unknown,S
133,0,3,female,47.0,1,0,14.5,Unknown,S
134,1,2,female,29.0,1,0,26.0,Unknown,S
135,0,2,male,25.0,0,0,13.0,Unknown,S
136,0,2,male,23.0,0,0,15.05,Unknown,C
137,1,1,female,19.0,0,2,26.28,D47,S
138,0,1,male,37.0,1,0,53.1,C123,S
139,0,3,male,16.0,0,0,9.22,Unknown,S
140,0,1,male,24.0,0,0,79.2,B86,C
141,0,3,female,24.0,0,2,15.25,Unknown,C
142,1,3,female,22.0,0,0,7.75,Unknown,S
143,1,3,female,24.0,1,0,15.85,Unknown,S
144,0,3,male,19.0,0,0,6.75,Unknown,Q
145,0,2,male,18.0,0,0,11.5,Unknown,S
146,0,2,male,19.0,1,1,36.75,Unknown,S
147,1,3,male,27.0,0,0,7.8,Unknown,S
148,0,3,female,9.0,2,2,34.38,Unknown,S
149,0,2,male,36.5,0,2,26.0,F2,S
150,0,2,male,42.0,0,0,13.0,Unknown,S
151,0,2,male,51.0,0,0,12.52,Unknown,S
152,1,1,female,22.0,1,0,66.6,C2,S
153,0,3,male,55.5,0,0,8.05,Unknown,S
154,0,3,male,40.5,0,2,14.5,Unknown,S
155,0,3,male,24.0,0,0,7.31,Unknown,S
156,0,1,male,51.0,0,1,61.38,Unknown,C
157,1,3,female,16.0,0,0,7.73,Unknown,Q
158,0,3,male,30.0,0,0,8.05,Unknown,S
159,0,3,male,24.0,0,0,8.66,Unknown,S
160,0,3,male,24.0,8,2,69.55,Unknown,S
161,0,3,male,44.0,0,1,16.1,Unknown,S
162,1,2,female,40.0,0,0,15.75,Unknown,S
163,0,3,male,26.0,0,0,7.78,Unknown,S
164,0,3,male,17.0,0,0,8.66,Unknown,S
165,0,3,male,1.0,4,1,39.69,Unknown,S
166,1,3,male,9.0,0,2,20.52,Unknown,S
167,1,1,female,37.0,0,1,55.0,E33,S
168,0,3,female,45.0,1,4,27.9,Unknown,S
169,0,1,male,37.0,0,0,25.92,Unknown,S
170,0,3,male,28.0,0,0,56.5,Unknown,S
171,0,1,male,61.0,0,0,33.5,B19,S
172,0,3,male,4.0,4,1,29.12,Unknown,Q
173,1,3,female,1.0,1,1,11.13,Unknown,S
174,0,3,male,21.0,0,0,7.92,Unknown,S
175,0,1,male,56.0,0,0,30.7,A7,C
176,0,3,male,18.0,1,1,7.85,Unknown,S
177,0,3,male,24.0,3,1,25.47,Unknown,S
178,0,1,female,50.0,0,0,28.71,C49,C
179,0,2,male,30.0,0,0,13.0,Unknown,S
180,0,3,male,36.0,0,0,0.0,Unknown,S
181,0,3,female,24.0,8,2,69.55,Unknown,S
182,0,2,male,29.0,0,0,15.05,Unknown,C
183,0,3,male,9.0,4,2,31.39,Unknown,S
184,1,2,male,1.0,2,1,39.0,F4,S
185,1,3,female,4.0,0,2,22.02,Unknown,S
186,0,1,male,37.0,0,0,50.0,A32,S
187,1,3,female,24.0,1,0,15.5,Unknown,Q
188,1,1,male,45.0,0,0,26.55,Unknown,S
189,0,3,male,40.0,1,1,15.5,Unknown,Q
190,0,3,male,36.0,0,0,7.9,Unknown,S
191,1,2,female,32.0,0,0,13.0,Unknown,S
192,0,2,male,19.0,0,0,13.0,Unknown,S
193,1,3,female,19.0,1,0,7.85,Unknown,S
194,1,2,male,3.0,1,1,26.0,F2,S
195,1,1,female,44.0,0,0,27.72,B4,C
196,1,1,female,58.0,0,0,146.52,B80,C
197,0,3,male,24.0,0,0,7.75,Unknown,Q
198,0,3,male,42.0,0,1,8.4,Unknown,S
199,1,3,female,24.0,0,0,7.75,Unknown,Q
200,0,2,female,24.0,0,0,13.0,Unknown,S
201,0,3,male,28.0,0,0,9.5,Unknown,S
202,0,3,male,24.0,8,2,69.55,Unknown,S
203,0,3,male,34.0,0,0,6.5,Unknown,S
204,0,3,male,45.5,0,0,7.22,Unknown,C
205,1,3,male,18.0,0,0,8.05,Unknown,S
206,0,3,female,2.0,0,1,10.46,G6,S
207,0,3,male,32.0,1,0,15.85,Unknown,S
208,1,3,male,26.0,0,0,18.79,Unknown,C
209,1,3,female,16.0,0,0,7.75,Unknown,Q
210,1,1,male,40.0,0,0,31.0,A31,C
211,0,3,male,24.0,0,0,7.05,Unknown,S
212,1,2,female,35.0,0,0,21.0,Unknown,S
213,0,3,male,22.0,0,0,7.25,Unknown,S
214,0,2,male,30.0,0,0,13.0,Unknown,S
215,0,3,male,24.0,1,0,7.75,Unknown,Q
216,1,1,female,31.0,1,0,113.28,D36,C
217,1,3,female,27.0,0,0,7.92,Unknown,S
218,0,2,male,42.0,1,0,27.0,Unknown,S
219,1,1,female,32.0,0,0,76.29,D15,C
220,0,2,male,30.0,0,0,10.5,C83,S
221,1,3,male,16.0,0,0,8.05,Unknown,S
222,0,2,male,27.0,0,0,13.0,Unknown,S
223,0,3,male,51.0,0,0,8.05,Unknown,S
224,0,3,male,24.0,0,0,7.9,Unknown,S
225,1,1,male,38.0,1,0,90.0,C93,S
226,0,3,male,22.0,0,0,9.35,Unknown,S
227,1,2,male,19.0,0,0,10.5,Unknown,S
228,0,3,male,20.5,0,0,7.25,Unknown,S
229,0,2,male,18.0,0,0,13.0,Unknown,S
230,0,3,female,24.0,3,1,25.47,Unknown,S
231,1,1,female,35.0,1,0,83.48,C83,S
232,0,3,male,29.0,0,0,7.78,Unknown,S
233,0,2,male,59.0,0,0,13.5,Unknown,S
234,1,3,female,5.0,4,2,31.39,Unknown,S
235,0,2,male,24.0,0,0,10.5,Unknown,S
236,0,3,female,24.0,0,0,7.55,Unknown,S
237,0,2,male,44.0,1,0,26.0,Unknown,S
238,1,2,female,8.0,0,2,26.25,Unknown,S
239,0,2,male,19.0,0,0,10.5,Unknown,S
240,0,2,male,33.0,0,0,12.28,Unknown,S
241,0,3,female,24.0,1,0,14.45,Unknown,C
242,1,3,female,24.0,1,0,15.5,Unknown,Q
243,0,2,male,29.0,0,0,10.5,Unknown,S
244,0,3,male,22.0,0,0,7.12,Unknown,S
245,0,3,male,30.0,0,0,7.22,Unknown,C
246,0,1,male,44.0,2,0,90.0,C78,Q
247,0,3,female,25.0,0,0,7.78,Unknown,S
248,1,2,female,24.0,0,2,14.5,Unknown,S
249,1,1,male,37.0,1,1,52.55,D35,S
250,0,2,male,54.0,1,0,26.0,B96 B98,S
251,0,3,male,24.0,0,0,7.25,Unknown,S
252,0,3,female,29.0,1,1,10.46,G6,S
253,0,1,male,62.0,0,0,26.55,C87,S
254,0,3,male,30.0,1,0,16.1,Unknown,S
255,0,3,female,41.0,0,2,20.21,Unknown,S
256,1,3,female,29.0,0,2,15.25,Unknown,C
257,1,1,female,37.0,0,0,79.2,Unknown,C
258,1,1,female,30.0,0,0,86.5,B77,S
259,1,1,female,35.0,0,0,512.33,Unknown,C
260,1,2,female,50.0,0,1,26.0,Unknown,S
261,0,3,male,24.0,0,0,7.75,A7,Q
262,1,3,male,3.0,4,2,31.39,Unknown,S
263,0,1,male,52.0,1,1,79.65,E67,S
264,0,1,male,40.0,0,0,0.0,B94,S
265,0,3,female,24.0,0,0,7.75,Unknown,Q
266,0,2,male,36.0,0,0,10.5,Unknown,S
267,0,3,male,16.0,4,1,39.69,Unknown,S
268,1,3,male,25.0,1,0,7.78,Unknown,S
269,1,1,female,58.0,0,1,153.46,C125,S
270,1,1,female,35.0,0,0,135.63,C99,S
271,0,1,male,37.0,0,0,31.0,Unknown,S
272,1,3,male,25.0,0,0,0.0,Unknown,S
273,1,2,female,41.0,0,1,19.5,Unknown,S
274,0,1,male,37.0,0,1,29.7,C118,C
275,1,3,female,24.0,0,0,7.75,Unknown,Q
276,1,1,female,63.0,1,0,77.96,D7,S
277,0,3,female,45.0,0,0,7.75,Unknown,S
278,0,2,male,29.0,0,0,0.0,Unknown,S
279,0,3,male,7.0,4,1,29.12,Unknown,Q
280,1,3,female,35.0,1,1,20.25,Unknown,S
281,0,3,male,65.0,0,0,7.75,Unknown,Q
282,0,3,male,28.0,0,0,7.85,Unknown,S
283,0,3,male,16.0,0,0,9.5,Unknown,S
284,1,3,male,19.0,0,0,8.05,Unknown,S
285,0,1,male,37.0,0,0,26.0,A19,S
286,0,3,male,33.0,0,0,8.66,Unknown,C
287,1,3,male,30.0,0,0,9.5,Unknown,S
288,0,3,male,22.0,0,0,7.9,Unknown,S
289,1,2,male,42.0,0,0,13.0,Unknown,S
290,1,3,female,22.0,0,0,7.75,Unknown,Q
291,1,1,female,26.0,0,0,78.85,Unknown,S
292,1,1,female,19.0,1,0,91.08,B49,C
293,0,2,male,36.0,0,0,12.88,D,C
294,0,3,female,24.0,0,0,8.85,Unknown,S
295,0,3,male,24.0,0,0,7.9,Unknown,S
296,0,1,male,37.0,0,0,27.72,Unknown,C
297,0,3,male,23.5,0,0,7.23,Unknown,C
298,0,1,female,2.0,1,2,151.55,C22 C26,S
299,1,1,male,37.0,0,0,30.5,C106,S
300,1,1,female,50.0,0,1,247.52,B58 B60,C
301,1,3,female,24.0,0,0,7.75,Unknown,Q
302,1,3,male,24.0,2,0,23.25,Unknown,Q
303,0,3,male,19.0,0,0,0.0,Unknown,S
304,1,2,female,29.0,0,0,12.35,E101,Q
305,0,3,male,24.0,0,0,8.05,Unknown,S
306,1,1,male,0.92,1,2,151.55,C22 C26,S
307,1,1,female,37.0,0,0,110.88,Unknown,C
308,1,1,female,17.0,1,0,108.9,C65,C
309,0,2,male,30.0,1,0,24.0,Unknown,C
310,1,1,female,30.0,0,0,56.93,E36,C
311,1,1,female,24.0,0,0,83.16,C54,C
312,1,1,female,18.0,2,2,262.38,B57 B59 B63 B66,C
313,0,2,female,26.0,1,1,26.0,Unknown,S
314,0,3,male,28.0,0,0,7.9,Unknown,S
315,0,2,male,43.0,1,1,26.25,Unknown,S
316,1,3,female,26.0,0,0,7.85,Unknown,S
317,1,2,female,24.0,1,0,26.0,Unknown,S
318,0,2,male,54.0,0,0,14.0,Unknown,S
319,1,1,female,31.0,0,2,164.87,C7,S
320,1,1,female,40.0,1,1,134.5,E34,C
321,0,3,male,22.0,0,0,7.25,Unknown,S
322,0,3,male,27.0,0,0,7.9,Unknown,S
323,1,2,female,30.0,0,0,12.35,Unknown,Q
324,1,2,female,22.0,1,1,29.0,Unknown,S
325,0,3,male,24.0,8,2,69.55,Unknown,S
326,1,1,female,36.0,0,0,135.63,C32,C
327,0,3,male,61.0,0,0,6.24,Unknown,S
328,1,2,female,36.0,0,0,13.0,D,S
329,1,3,female,31.0,1,1,20.52,Unknown,S
330,1,1,female,16.0,0,1,57.98,B18,C
331,1,3,female,24.0,2,0,23.25,Unknown,Q
332,0,1,male,45.5,0,0,28.5,C124,S
333,0,1,male,38.0,0,1,153.46,C91,S
334,0,3,male,16.0,2,0,18.0,Unknown,S
335,1,1,female,37.0,1,0,133.65,Unknown,S
336,0,3,male,24.0,0,0,7.9,Unknown,S
337,0,1,male,29.0,1,0,66.6,C2,S
338,1,1,female,41.0,0,0,134.5,E40,C
339,1,3,male,45.0,0,0,8.05,Unknown,S
340,0,1,male,45.0,0,0,35.5,T,S
341,1,2,male,2.0,1,1,26.0,F2,S
342,1,1,female,24.0,3,2,263.0,C23 C25 C27,S
343,0,2,male,28.0,0,0,13.0,Unknown,S
344,0,2,male,25.0,0,0,13.0,Unknown,S
345,0,2,male,36.0,0,0,13.0,Unknown,S
346,1,2,female,24.0,0,0,13.0,F33,S
347,1,2,female,40.0,0,0,13.0,A7,S
348,1,3,female,24.0,1,0,16.1,Unknown,S
349,1,3,male,3.0,1,1,15.9,Unknown,S
350,0,3,male,42.0,0,0,8.66,Unknown,S
351,0,3,male,23.0,0,0,9.22,Unknown,S
352,0,1,male,37.0,0,0,35.0,C128,S
353,0,3,male,15.0,1,1,7.23,Unknown,C
354,0,3,male,25.0,1,0,17.8,Unknown,S
355,0,3,male,24.0,0,0,7.22,Unknown,C
356,0,3,male,28.0,0,0,9.5,Unknown,S
357,1,1,female,22.0,0,1,55.0,E33,S
358,0,2,female,38.0,0,0,13.0,Unknown,S
359,1,3,female,24.0,0,0,7.88,Unknown,Q
360,1,3,female,24.0,0,0,7.88,Unknown,Q
361,0,3,male,40.0,1,4,27.9,Unknown,S
362,0,2,male,29.0,1,0,27.72,Unknown,C
363,0,3,female,45.0,0,1,14.45,Unknown,C
364,0,3,male,35.0,0,0,7.05,Unknown,S
365,0,3,male,24.0,1,0,15.5,Unknown,Q
366,0,3,male,30.0,0,0,7.25,Unknown,S
367,1,1,female,60.0,1,0,75.25,D37,C
368,1,3,female,24.0,0,0,7.23,Unknown,C
369,1,3,female,24.0,0,0,7.75,Unknown,Q
370,1,1,female,24.0,0,0,69.3,B35,C
371,1,1,male,25.0,1,0,55.44,E50,C
372,0,3,male,18.0,1,0,6.5,Unknown,S
373,0,3,male,19.0,0,0,8.05,Unknown,S
374,0,1,male,22.0,0,0,135.63,Unknown,C
375,0,3,female,3.0,3,1,21.08,Unknown,S
376,1,1,female,37.0,1,0,82.17,Unknown,C
377,1,3,female,22.0,0,0,7.25,Unknown,S
378,0,1,male,27.0,0,2,211.5,C82,C
379,0,3,male,20.0,0,0,4.01,Unknown,C
380,0,3,male,19.0,0,0,7.78,Unknown,S
381,1,1,female,42.0,0,0,227.52,Unknown,C
382,1,3,female,1.0,0,2,15.74,Unknown,C
383,0,3,male,32.0,0,0,7.92,Unknown,S
384,1,1,female,35.0,1,0,52.0,Unknown,S
385,0,3,male,24.0,0,0,7.9,Unknown,S
386,0,2,male,18.0,0,0,73.5,Unknown,S
387,0,3,male,1.0,5,2,46.9,Unknown,S
388,1,2,female,36.0,0,0,13.0,Unknown,S
389,0,3,male,24.0,0,0,7.73,Unknown,Q
390,1,2,female,17.0,0,0,12.0,Unknown,C
391,1,1,male,36.0,1,2,120.0,B96 B98,S
392,1,3,male,21.0,0,0,7.8,Unknown,S
393,0,3,male,28.0,2,0,7.92,Unknown,S
394,1,1,female,23.0,1,0,113.28,D36,C
395,1,3,female,24.0,0,2,16.7,G6,S
396,0,3,male,22.0,0,0,7.8,Unknown,S
397,0,3,female,31.0,0,0,7.85,Unknown,S
398,0,2,male,46.0,0,0,26.0,Unknown,S
399,0,2,male,23.0,0,0,10.5,Unknown,S
400,1,2,female,28.0,0,0,12.65,Unknown,S
401,1,3,male,39.0,0,0,7.92,Unknown,S
402,0,3,male,26.0,0,0,8.05,Unknown,S
403,0,3,female,21.0,1,0,9.82,Unknown,S
404,0,3,male,28.0,1,0,15.85,Unknown,S
405,0,3,female,20.0,0,0,8.66,Unknown,S
406,0,2,male,34.0,1,0,21.0,Unknown,S
407,0,3,male,51.0,0,0,7.75,Unknown,S
408,1,2,male,3.0,1,1,18.75,Unknown,S
409,0,3,male,21.0,0,0,7.78,Unknown,S
410,0,3,female,24.0,3,1,25.47,Unknown,S
411,0,3,male,24.0,0,0,7.9,Unknown,S
412,0,3,male,24.0,0,0,6.86,Unknown,Q
413,1,1,female,33.0,1,0,90.0,C78,Q
414,0,2,male,29.0,0,0,0.0,Unknown,S
415,1,3,male,44.0,0,0,7.92,Unknown,S
416,0,3,female,24.0,0,0,8.05,Unknown,S
417,1,2,female,34.0,1,1,32.5,Unknown,S
418,1,2,female,18.0,0,2,13.0,Unknown,S
419,0,2,male,30.0,0,0,13.0,Unknown,S
420,0,3,female,10.0,0,2,24.15,Unknown,S
421,0,3,male,24.0,0,0,7.9,Unknown,C
422,0,3,male,21.0,0,0,7.73,Unknown,Q
423,0,3,male,29.0,0,0,7.88,Unknown,S
424,0,3,female,28.0,1,1,14.4,Unknown,S
425,0,3,male,18.0,1,1,20.21,Unknown,S
426,0,3,male,24.0,0,0,7.25,Unknown,S
427,1,2,female,28.0,1,0,26.0,Unknown,S
428,1,2,female,19.0,0,0,26.0,Unknown,S
429,0,3,male,24.0,0,0,7.75,E25,Q
430,1,3,male,32.0,0,0,8.05,E10,S
431,1,1,male,28.0,0,0,26.55,C52,S
432,1,3,female,24.0,1,0,16.1,Unknown,S
433,1,2,female,42.0,1,0,26.0,Unknown,S
434,0,3,male,17.0,0,0,7.12,Unknown,S
435,0,1,male,50.0,1,0,55.9,E44,S
436,1,1,female,14.0,1,2,120.0,B96 B98,S
437,0,3,female,21.0,2,2,34.38,Unknown,S
438,1,2,female,24.0,2,3,18.75,Unknown,S
439,0,1,male,64.0,1,4,263.0,C23 C25 C27,S
440,0,2,male,31.0,0,0,10.5,Unknown,S
441,1,2,female,45.0,1,1,26.25,Unknown,S
442,0,3,male,20.0,0,0,9.5,Unknown,S
443,0,3,male,25.0,1,0,7.78,Unknown,S
444,1,2,female,28.0,0,0,13.0,Unknown,S
